device,d,C,batch,iters,warmup_iters,build_iters,max_abs_diff,seq_apply_ms,wy_apply_ms,upfront_build_ms,amortized_upfront_ms_per_apply,wy_effective_apply_ms,speedup_apply_only,speedup_including_upfront,break_even_applies
cuda,1024,8,4,100,10,50,0.00010210276,0.16323017,0.01914056,0.24556939,0.0024556939,0.021596254,8.5279724,7.5582631,1.7042824
cuda,1024,8,8,100,10,50,0.0001065731,0.16429721,0.027878992,0.243291,0.00243291,0.030311902,5.8932264,5.4202212,1.7834201
cuda,1024,8,16,100,10,50,0.00014066696,0.18784083,0.025312752,0.2370001,0.002370001,0.027682753,7.4207987,6.7854825,1.4582102
cuda,1024,16,4,100,10,50,0.00017237663,0.31823165,0.018880721,0.47884628,0.0047884628,0.023669184,16.854846,13.444978,1.5996152
cuda,1024,16,8,100,10,50,0.00011849403,0.3167062,0.01887368,0.4891577,0.004891577,0.023765257,16.780309,13.326437,1.6423919
cuda,1024,16,16,100,10,50,0.00019744039,0.31780076,0.018850323,0.48633689,0.0048633689,0.023713692,16.859168,13.401573,1.6268144
cuda,1024,32,4,100,10,50,0.00027799606,0.62991318,0.018877536,0.984725,0.00984725,0.028724786,33.3684,21.929256,1.6115672
cuda,1024,32,8,100,10,50,0.00030395389,0.62988039,0.018853527,0.98680055,0.0098680055,0.028721532,33.409155,21.930599,1.6149872
cuda,1024,32,16,100,10,50,0.00023573637,0.62967063,0.01914328,0.98539572,0.0098539572,0.028997237,32.892516,21.714849,1.6140075
cuda,2048,8,4,100,10,50,9.7155571e-05,0.16226856,0.016995277,0.25307247,0.0025307247,0.019526002,9.5478619,8.3103833,1.7420442
cuda,2048,8,8,100,10,50,0.00013065338,0.16185977,0.016932711,0.25194287,0.0025194287,0.01945214,9.5589989,8.3209234,1.7384116
cuda,2048,8,16,100,10,50,0.00013756752,0.16132903,0.016832715,0.25316657,0.0025316657,0.019364381,9.5842551,8.3312261,1.7520625
cuda,2048,16,4,100,10,50,7.9452991e-05,0.31951245,0.016937042,0.51200036,0.0051200036,0.022057045,18.864714,14.485732,1.6921414
cuda,2048,16,8,100,10,50,0.0001257062,0.31748444,0.0168812,0.51056739,0.0051056739,0.021986873,18.806983,14.439726,1.698476
cuda,2048,16,16,100,10,50,0.00010991096,0.40480403,0.022319136,0.52872458,0.0052872458,0.027606382,18.137083,14.663422,1.3823411
cuda,2048,32,4,100,10,50,0.00015985966,0.62970455,0.016933344,1.0402222,0.010402222,0.027335566,37.187252,23.036089,1.6975703
cuda,2048,32,8,100,10,50,0.00015696883,0.63122119,0.016799122,1.0356664,0.010356664,0.027155786,37.574653,23.244446,1.6855944
cuda,2048,32,16,100,10,50,0.00015628338,0.62844438,0.016661827,1.0339319,0.010339319,0.027001146,37.717616,23.27473,1.6900318
cuda,4096,8,4,100,10,50,5.3994358e-05,0.16067527,0.016738633,0.24950318,0.0024950318,0.019233664,9.5990679,8.3538565,1.7334237
cuda,4096,8,8,100,10,50,9.3221664e-05,0.1609444,0.016752873,0.24966029,0.0024966029,0.019249476,9.6069731,8.3609757,1.7314492
cuda,4096,8,16,100,10,50,9.7513199e-05,0.1611956,0.016740551,0.24967918,0.0024967918,0.019237343,9.6290499,8.379307,1.7284213
cuda,4096,16,4,100,10,50,8.5115433e-05,0.31882364,0.016825842,0.50970722,0.0050970722,0.021922914,18.948451,14.542941,1.6877845
cuda,4096,16,8,100,10,50,8.9794397e-05,0.31712766,0.016662143,0.50902847,0.0050902847,0.021752428,19.032825,14.578955,1.6941328
cuda,4096,16,16,100,10,50,0.00011537969,0.31775566,0.016647428,0.514361,0.00514361,0.021791038,19.087372,14.581942,1.7082263
cuda,4096,32,4,100,10,50,8.85427e-05,0.63062567,0.016970644,1.0384356,0.010384356,0.027355,37.159797,23.053397,1.692214
cuda,4096,32,8,100,10,50,7.6830387e-05,0.63109255,0.01715336,1.0273732,0.010273732,0.027427092,36.791192,23.009824,1.673412
cuda,4096,32,16,100,10,50,8.893013e-05,0.75818399,0.024839155,1.0264558,0.010264558,0.035103713,30.523743,21.598399,1.3996904
